Indegree,Outdegree,NumSCC,betweenness,closeness
2,11,0,535.6815897157031,0.3957275803722504
12,2,0,2012.7805623692552,0.3438706120198493
1,11,0,1855.4394226182799,0.3922431865828092
1,5,0,13.076381170923089,0.3411743253099927
0,1,239,0.0,0.3044256426944354
18,9,0,2805.0102803167883,0.3794362198337051
11,8,0,1290.5643747808042,0.35288570350811016
3,0,242,0.0,0.31674284746910447
0,2,243,0.0,0.33809179616913626
0,3,244,0.0,0.3452029520295203
4,7,0,203.97857929806497,0.3769897239572839
0,3,246,0.0,0.3409877893202114
39,21,0,22953.143029419396,0.41421297321230904
0,10,248,0.0,0.35856650057493294
2,10,0,754.3041983986088,0.3773699072206535
37,21,0,25471.491984431854,0.41688948306595364
0,5,251,0.0,0.3537530724144451
0,1,252,0.0,0.2942749292230261
0,0,253,0.0,0.0
71,28,0,46261.328759665055,0.43848136864307474
0,0,255,0.0,0.0
13,15,0,4222.030243815304,0.38737060041407867
5,5,0,341.47286424554244,0.32974973563623544
0,0,258,0.0,0.0
11,7,0,6844.871407283338,0.3462890986488988
0,0,260,0.0,0.0
0,1,261,0.0,1.0
1,18,0,35.6371911753394,0.4061211200347298
2,12,0,1900.4361874128965,0.37928238394486113
1,2,264,8.695928663922647,0.30507092776781347
0,10,265,0.0,0.3924077181208054
2,2,0,11.312395453516736,0.3315024805102764
38,12,0,5952.41668291983,0.3956438993444703
9,10,0,831.8179603644694,0.3898728901854553
1,1,0,1.663120537011666,0.3130332942947967
10,11,0,5698.970630295593,0.3796672077922078
5,12,0,3967.3246650801952,0.37691377921031427
2,5,0,51.574707353136425,0.3177109865851588
1,10,0,4.2117500537877435,0.3706418383518225
61,5,0,8347.95275075564,0.4066507281025864
11,15,0,4287.434016013395,0.38418891170431213
19,3,0,328.69857890936146,0.365858427845131
0,3,277,0.0,0.3505058074185088
0,3,278,0.0,0.3650731707317073
1,3,279,58.87168626036079,0.35570342205323197
8,7,0,3208.102646662991,0.36736697427842135
170,38,0,60118.1696208202,0.46038385826771655
